show_id	show_title	publisher	tags	language	explicit	avg_len_min	freq	episode_id	ep_title	ep_desc	ep_duration_min	soft_start	publish_ts	popularity_score
S001	True Crime Chronicles	Atlas Audio	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	1	40	daily	E0001	True Crime Ep 1: Breaking the Pattern	A true crime episode exploring mystery with storytelling format. Ideal for commute. Includes insights on history.	42	0	2025-08-05 12:08:16	0.089
S001	True Crime Chronicles	Atlas Audio	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	1	40	daily	E0002	True Crime Ep 2: AI Ethics Roundtable	A true crime episode exploring narrative with background format. Ideal for focus. Includes insights on ethics.	52	0	2025-09-17 16:08:16	0.654
S002	True Crime Daily	NorthStar Pods	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	0	45	weekly	E0003	True Crime Ep 1: Derby Day Preview	A true crime episode exploring tense with analysis format. Ideal for commute. Includes insights on news.	56	1	2025-08-31 11:08:16	0.195
S002	True Crime Daily	NorthStar Pods	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	0	45	weekly	E0004	True Crime Ep 2: Breaking the Pattern	A true crime episode exploring tense with analysis format. Ideal for focus. Includes insights on history.	61	1	2025-08-15 21:08:16	0.945
S003	True Crime Deep Dive	Skyline Media	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	1	35	weekly	E0005	True Crime Ep 1: Derby Day Preview	A true crime episode exploring mystery with analysis format. Ideal for focus. Includes insights on research.	50	0	2025-10-01 02:08:16	0.728
S003	True Crime Deep Dive	Skyline Media	storytelling, mystery, investigation, narrative, tense, forensic, gritty	en	1	35	weekly	E0006	True Crime Ep 2: Markets & Mindsets	A true crime episode exploring tense with storytelling format. Ideal for workout. Includes insights on psychology.	33	0	2025-09-08 16:08:16	0.738
S004	Comedy Chronicles	Evergreen Labs	comedy, humor, banter, energetic, improv, high-energy	en	0	70	daily	E0007	Comedy Ep 1: Focus & Flow	A comedy episode exploring banter with interview format. Ideal for workout. Includes insights on history.	63	0	2025-10-06 07:08:16	0.859
S004	Comedy Chronicles	Evergreen Labs	comedy, humor, banter, energetic, improv, high-energy	en	0	70	daily	E0008	Comedy Ep 2: Empire Echoes	A comedy episode exploring humor with analysis format. Ideal for workout. Includes insights on research.	55	0	2025-09-03 08:08:16	0.523
S005	Comedy Daily	Atlas Audio	comedy, humor, banter, energetic, improv, high-energy	ru	0	80	weekly	E0009	Comedy Ep 1: Shadows and Signals	A comedy episode exploring comedy with storytelling format. Ideal for workout. Includes insights on news.	86	0	2025-09-15 10:08:16	0.187
S005	Comedy Daily	Atlas Audio	comedy, humor, banter, energetic, improv, high-energy	ru	0	80	weekly	E0010	Comedy Ep 2: Empire Echoes	A comedy episode exploring improv with analysis format. Ideal for commute. Includes insights on news.	75	1	2025-08-19 19:08:16	0.509
S006	Comedy Deep Dive	Atlas Audio	comedy, humor, banter, energetic, improv, high-energy	en	0	70	weekly	E0011	Comedy Ep 1: Morning Brief	A comedy episode exploring improv with storytelling format. Ideal for commute. Includes insights on news.	70	1	2025-09-06 01:08:16	0.018
S006	Comedy Deep Dive	Atlas Audio	comedy, humor, banter, energetic, improv, high-energy	en	0	70	weekly	E0012	Comedy Ep 2: Derby Day Preview	A comedy episode exploring humor with background format. Ideal for commute. Includes insights on history.	62	0	2025-09-04 18:08:16	0.323
S007	Business Chronicles	Pioneer Cast	business, strategy, markets, finance, interview	es	1	45	weekly	E0013	Business Ep 1: Breaking the Pattern	A business episode exploring interview with storytelling format. Ideal for workout. Includes insights on news.	45	1	2025-08-02 12:08:16	0.603
S007	Business Chronicles	Pioneer Cast	business, strategy, markets, finance, interview	es	1	45	weekly	E0014	Business Ep 2: Focus & Flow	A business episode exploring strategy with background format. Ideal for workout. Includes insights on news.	50	1	2025-08-13 21:08:16	0.639
S008	Business Daily	Pioneer Cast	business, strategy, markets, finance, interview	es	0	45	weekly	E0015	Business Ep 1: Stars and Storms	A business episode exploring strategy with background format. Ideal for workout. Includes insights on ethics.	52	1	2025-09-12 07:08:16	0.067
S008	Business Daily	Pioneer Cast	business, strategy, markets, finance, interview	es	0	45	weekly	E0016	Business Ep 2: Shadows and Signals	A business episode exploring markets with interview format. Ideal for workout. Includes insights on strategy.	39	0	2025-10-03 16:08:16	0.356
S009	Business Deep Dive	Atlas Audio	business, strategy, markets, finance, interview	es	0	30	biweekly	E0017	Business Ep 1: AI Ethics Roundtable	A business episode exploring business with interview format. Ideal for sleep. Includes insights on strategy.	39	0	2025-08-14 07:08:16	0.861
S009	Business Deep Dive	Atlas Audio	business, strategy, markets, finance, interview	es	0	30	biweekly	E0018	Business Ep 2: Breaking the Pattern	A business episode exploring business with debate format. Ideal for focus. Includes insights on ethics.	25	0	2025-08-20 01:08:16	0.802
S010	Tech Chronicles	Skyline Media	technology, ai, software, ethics, research, interview	en	0	60	daily	E0019	Tech Ep 1: Stars and Storms	A tech episode exploring technology with interview format. Ideal for commute. Includes insights on ethics.	54	0	2025-09-12 12:08:16	0.901
S010	Tech Chronicles	Skyline Media	technology, ai, software, ethics, research, interview	en	0	60	daily	E0020	Tech Ep 2: Focus & Flow	A tech episode exploring technology with storytelling format. Ideal for sleep. Includes insights on ethics.	63	0	2025-09-13 09:08:16	0.599
S011	Tech Daily	Evergreen Labs	technology, ai, software, ethics, research, interview	en	0	60	weekly	E0021	Tech Ep 1: Morning Brief	A tech episode exploring ai with interview format. Ideal for commute. Includes insights on news.	42	0	2025-08-02 17:08:16	0.271
S011	Tech Daily	Evergreen Labs	technology, ai, software, ethics, research, interview	en	0	60	weekly	E0022	Tech Ep 2: Stars and Storms	A tech episode exploring ai with interview format. Ideal for commute. Includes insights on research.	69	1	2025-09-03 13:08:16	0.595
S012	Tech Deep Dive	Aurora Audio	technology, ai, software, ethics, research, interview	ru	0	35	weekly	E0023	Tech Ep 1: Focus & Flow	A tech episode exploring research with background format. Ideal for focus. Includes insights on strategy.	47	0	2025-09-11 20:08:16	0.715
S012	Tech Deep Dive	Aurora Audio	technology, ai, software, ethics, research, interview	ru	0	35	weekly	E0024	Tech Ep 2: Focus & Flow	A tech episode exploring ai with analysis format. Ideal for sleep. Includes insights on strategy.	46	0	2025-09-16 17:08:16	0.367
S013	News Chronicles	NorthStar Pods	news, daily, briefing, current affairs, narrative, morning, commute	en	1	80	biweekly	E0025	News Ep 1: Breaking the Pattern	A news episode exploring daily with analysis format. Ideal for focus. Includes insights on research.	83	0	2025-09-15 22:08:16	0.953
S013	News Chronicles	NorthStar Pods	news, daily, briefing, current affairs, narrative, morning, commute	en	1	80	biweekly	E0026	News Ep 2: Stars and Storms	A news episode exploring news with background format. Ideal for focus. Includes insights on news.	79	0	2025-08-17 21:08:16	0.709
S014	News Daily	Aurora Audio	news, daily, briefing, current affairs, narrative, morning, commute	en	0	25	biweekly	E0027	News Ep 1: Morning Brief	A news episode exploring narrative with debate format. Ideal for focus. Includes insights on ethics.	18	0	2025-07-28 08:08:16	0.328
S014	News Daily	Aurora Audio	news, daily, briefing, current affairs, narrative, morning, commute	en	0	25	biweekly	E0028	News Ep 2: Shadows and Signals	A news episode exploring briefing with storytelling format. Ideal for focus. Includes insights on research.	22	0	2025-10-01 18:08:16	0.407
S015	News Deep Dive	Atlas Audio	news, daily, briefing, current affairs, narrative, morning, commute	es	0	50	biweekly	E0029	News Ep 1: Stars and Storms	A news episode exploring daily with debate format. Ideal for workout. Includes insights on ethics.	53	1	2025-09-23 21:08:16	0.498
S015	News Deep Dive	Atlas Audio	news, daily, briefing, current affairs, narrative, morning, commute	es	0	50	biweekly	E0030	News Ep 2: Shadows and Signals	A news episode exploring briefing with storytelling format. Ideal for workout. Includes insights on news.	50	0	2025-09-04 03:08:16	0.852
S016	Sports Chronicles	Aurora Audio	sports, football, basketball, premier league, analysis, matchday, energetic	en	0	50	biweekly	E0031	Sports Ep 1: Focus & Flow	A sports episode exploring sports with storytelling format. Ideal for focus. Includes insights on psychology.	49	0	2025-09-13 09:08:16	0.863
S016	Sports Chronicles	Aurora Audio	sports, football, basketball, premier league, analysis, matchday, energetic	en	0	50	biweekly	E0032	Sports Ep 2: Focus & Flow	A sports episode exploring sports with debate format. Ideal for workout. Includes insights on research.	31	1	2025-09-12 06:08:16	0.78
S017	Sports Daily	NorthStar Pods	sports, football, basketball, premier league, analysis, matchday, energetic	es	0	35	daily	E0033	Sports Ep 1: Morning Brief	A sports episode exploring basketball with background format. Ideal for sleep. Includes insights on news.	40	0	2025-09-01 06:08:16	0.977
S017	Sports Daily	NorthStar Pods	sports, football, basketball, premier league, analysis, matchday, energetic	es	0	35	daily	E0034	Sports Ep 2: Morning Brief	A sports episode exploring football with background format. Ideal for focus. Includes insights on ethics.	35	0	2025-08-06 04:08:16	0.22
S018	Sports Deep Dive	Aurora Audio	sports, football, basketball, premier league, analysis, matchday, energetic	ru	0	45	weekly	E0035	Sports Ep 1: Focus & Flow	A sports episode exploring sports with background format. Ideal for workout. Includes insights on strategy.	37	1	2025-08-24 20:08:16	0.113
S018	Sports Deep Dive	Aurora Audio	sports, football, basketball, premier league, analysis, matchday, energetic	ru	0	45	weekly	E0036	Sports Ep 2: Derby Day Preview	A sports episode exploring sports with analysis format. Ideal for focus. Includes insights on news.	39	0	2025-08-19 12:08:16	0.944
S019	Self-help Chronicles	Evergreen Labs	mindset, calm, background, stoicism, uplifting, reflective, soft	en	0	40	biweekly	E0037	Self-help Ep 1: Markets & Mindsets	A self-help episode exploring uplifting with background format. Ideal for focus. Includes insights on psychology.	45	1	2025-08-25 17:08:16	0.816
S019	Self-help Chronicles	Evergreen Labs	mindset, calm, background, stoicism, uplifting, reflective, soft	en	0	40	biweekly	E0038	Self-help Ep 2: AI Ethics Roundtable	A self-help episode exploring stoicism with background format. Ideal for focus. Includes insights on psychology.	45	1	2025-08-04 14:08:16	0.434
