show_id,show_title,publisher,tags,language,explicit,avg_len_min,freq,episode_id,ep_title,ep_desc,ep_duration_min,soft_start,publish_ts,popularity_score
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e01,"Case File #1: Silent Evidence","Investigators revisit a cold case with new clues in episode 1.",47,0,2025-10-01T08:00:00+00:00,0.78
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e02,"Case File #2: Silent Evidence","Investigators revisit a cold case with new clues in episode 2.",39,0,2025-10-08T08:00:00+00:00,0.79
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e03,"Case File #3: Silent Evidence","Investigators revisit a cold case with new clues in episode 3.",53,0,2025-10-15T08:00:00+00:00,0.8
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e04,"Case File #4: Silent Evidence","Investigators revisit a cold case with new clues in episode 4.",32,0,2025-10-22T08:00:00+00:00,0.81
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e05,"Case File #5: Silent Evidence","Investigators revisit a cold case with new clues in episode 5.",39,0,2025-10-29T08:00:00+00:00,0.82
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e06,"Case File #6: Silent Evidence","Investigators revisit a cold case with new clues in episode 6.",44,0,2025-11-05T08:00:00+00:00,0.83
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e07,"Case File #7: Silent Evidence","Investigators revisit a cold case with new clues in episode 7.",46,0,2025-11-12T08:00:00+00:00,0.84
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e08,"Case File #8: Silent Evidence","Investigators revisit a cold case with new clues in episode 8.",39,0,2025-11-19T08:00:00+00:00,0.85
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e09,"Case File #9: Silent Evidence","Investigators revisit a cold case with new clues in episode 9.",48,0,2025-11-26T08:00:00+00:00,0.86
s1,Midnight Cases,Night Owl Media,"true-crime,crime,storytelling,tense",en,0,45,weekly,s1_e10,"Case File #10: Silent Evidence","Investigators revisit a cold case with new clues in episode 10.",43,0,2025-12-03T08:00:00+00:00,0.87
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e01,"Live Crowd Stories #1","Comics share chaotic moments from gigs and everyday life, round 1.",53,0,2025-10-01T08:00:00+00:00,0.84
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e02,"Live Crowd Stories #2","Comics share chaotic moments from gigs and everyday life, round 2.",57,0,2025-10-08T08:00:00+00:00,0.85
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e03,"Live Crowd Stories #3","Comics share chaotic moments from gigs and everyday life, round 3.",56,0,2025-10-15T08:00:00+00:00,0.86
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e04,"Live Crowd Stories #4","Comics share chaotic moments from gigs and everyday life, round 4.",50,0,2025-10-22T08:00:00+00:00,0.87
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e05,"Live Crowd Stories #5","Comics share chaotic moments from gigs and everyday life, round 5.",48,0,2025-10-29T08:00:00+00:00,0.88
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e06,"Live Crowd Stories #6","Comics share chaotic moments from gigs and everyday life, round 6.",45,0,2025-11-05T08:00:00+00:00,0.89
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e07,"Live Crowd Stories #7","Comics share chaotic moments from gigs and everyday life, round 7.",54,0,2025-11-12T08:00:00+00:00,0.9
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e08,"Live Crowd Stories #8","Comics share chaotic moments from gigs and everyday life, round 8.",45,0,2025-11-19T08:00:00+00:00,0.91
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e09,"Live Crowd Stories #9","Comics share chaotic moments from gigs and everyday life, round 9.",49,0,2025-11-26T08:00:00+00:00,0.92
s2,Laugh Track Live,BrightSide Studio,"comedy,conversation,energetic,upbeat",en,1,50,weekly,s2_e10,"Live Crowd Stories #10","Comics share chaotic moments from gigs and everyday life, round 10.",46,0,2025-12-03T08:00:00+00:00,0.93
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e01,"Market Open Brief #1","Morning rundown of global markets and key business headlines, issue 1.",21,1,2025-10-01T08:00:00+00:00,0.74
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e02,"Market Open Brief #2","Morning rundown of global markets and key business headlines, issue 2.",26,0,2025-10-02T08:00:00+00:00,0.75
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e03,"Market Open Brief #3","Morning rundown of global markets and key business headlines, issue 3.",19,1,2025-10-03T08:00:00+00:00,0.76
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e04,"Market Open Brief #4","Morning rundown of global markets and key business headlines, issue 4.",22,1,2025-10-04T08:00:00+00:00,0.77
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e05,"Market Open Brief #5","Morning rundown of global markets and key business headlines, issue 5.",23,1,2025-10-05T08:00:00+00:00,0.78
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e06,"Market Open Brief #6","Morning rundown of global markets and key business headlines, issue 6.",31,0,2025-10-06T08:00:00+00:00,0.79
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e07,"Market Open Brief #7","Morning rundown of global markets and key business headlines, issue 7.",27,0,2025-10-07T08:00:00+00:00,0.8
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e08,"Market Open Brief #8","Morning rundown of global markets and key business headlines, issue 8.",30,0,2025-10-08T08:00:00+00:00,0.81
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e09,"Market Open Brief #9","Morning rundown of global markets and key business headlines, issue 9.",22,1,2025-10-09T08:00:00+00:00,0.82
s3,Morning Business Brief,Capital Wave,"business,news,markets,background",en,0,25,daily,s3_e10,"Market Open Brief #10","Morning rundown of global markets and key business headlines, issue 10.",20,1,2025-10-10T08:00:00+00:00,0.83
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e01,"Deep Dive into Systems #1","Engineers unpack modern infrastructure, scaling, and AI workloads in part 1.",60,0,2025-10-01T08:00:00+00:00,0.77
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e02,"Deep Dive into Systems #2","Engineers unpack modern infrastructure, scaling, and AI workloads in part 2.",55,0,2025-10-08T08:00:00+00:00,0.78
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e03,"Deep Dive into Systems #3","Engineers unpack modern infrastructure, scaling, and AI workloads in part 3.",63,0,2025-10-15T08:00:00+00:00,0.79
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e04,"Deep Dive into Systems #4","Engineers unpack modern infrastructure, scaling, and AI workloads in part 4.",52,0,2025-10-22T08:00:00+00:00,0.8
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e05,"Deep Dive into Systems #5","Engineers unpack modern infrastructure, scaling, and AI workloads in part 5.",59,0,2025-10-29T08:00:00+00:00,0.81
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e06,"Deep Dive into Systems #6","Engineers unpack modern infrastructure, scaling, and AI workloads in part 6.",55,0,2025-11-05T08:00:00+00:00,0.82
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e07,"Deep Dive into Systems #7","Engineers unpack modern infrastructure, scaling, and AI workloads in part 7.",62,0,2025-11-12T08:00:00+00:00,0.83
s4,Deep Tech Talks,FutureStack,"tech,ai,software,interview,deep",en,0,55,weekly,s4_e08,"Deep Dive into Systems #8","Engineers unpack modern infrastructure, scaling, and AI workloads in part 8.",50,0,2025-11-19T08:00:00+00:00,0.84
